Airport name,DST,IATA,ICAO,Location served,Time
Inhaca Airport[1],,IHC,FQIA,"Inhaca Island, Mozambique",UTC+02:00
Qishn Airport,,IHN,OYQN,"Qishn, Yemen",UTC+03:00
Ihosy Airport,,IHO,FMSI,"Ihosy, Madagascar",UTC+03:00
Iranshahr Airport[1],Mar-Sep,IHR,OIZI,"Iranshahr, Iran",UTC+03:30
Ihu Airport,,IHU,,"Ihu, Papua New Guinea",UTC+10:00
Inishmaan Aerodrome,Mar-Oct,IIA,EIMN,"Inishmaan, Ireland",UTC±00:00
Ilam Airport[1],Mar-Sep,IIL,OICI,"Ilam, Iran",UTC+03:30
Nissan Island Airport,,IIS,AYIA,"Nissan Island, Papua New Guinea",UTC+11:00
Izhevsk Airport,,IJK,USII,"Izhevsk, Udmurtia, Russia",UTC+04:00
João Batista Bos Filho Airport,Oct-Feb,IJU,SSIJ,"Ijuí, Rio Grande do Sul, Brazil",UTC−03:00
Jacksonville Municipal Airport,Mar-Nov,IJX,KIJX,"Jacksonville, Illinois, United States",UTC−06:00
Tehran Imam Khomeini International Airport,Mar-Sep,IKA,OIIE,"Tehran, Iran",UTC+03:30
Wilkes County Airport (FAA: UKF),Mar-Nov,IKB,KUKF,"North Wilkesboro, North Carolina, United States",UTC−05:00
Iki Airport,,IKI,RJDB,"Iki, Iki Island, Japan",UTC+09:00
Greater Kankakee Airport,Mar-Nov,IKK,KIKK,"Kankakee, Illinois, United States",UTC−06:00
Ikela Airport,,IKL,FZGV,"Ikela, Democratic Republic of the Congo",UTC+01:00
Nikolski Air Station,Mar-Nov,IKO,PAKO,"Nikolski, Alaska, United States",UTC−09:00
Inkerman Airport,,IKP,YIKM,"Inkerman, Queensland, Australia",UTC+10:00
Tiksi Airport,,IKS,UEST,"Tiksi, Yakutia, Russia",UTC+09:00
International Airport Irkutsk,,IKT,UIII,"Irkutsk, Irkutsk Oblast, Russia",UTC+08:00
Illaga Airport,,ILA,WABL,"Illaga, Indonesia",UTC+09:00
Lleida–Alguaire Airport,Mar-Oct,ILD,LEDA,"Lleida, Catalonia, Spain",UTC+01:00
Skylark Field,Mar-Nov,ILE,KILE,"Killeen, Texas, United States",UTC−06:00
Ilford Airport,Mar-Nov,ILF,CZBD,"Ilford, Manitoba, Canada",UTC−06:00
Wilmington Airport (New Castle Airport),Mar-Nov,ILG,KILG,"Wilmington, Delaware, United States",UTC−05:00
Illesheim Army Airfield,Mar-Oct,ILH,ETIK,"Illesheim, Bavaria, Germany",UTC+01:00
Iliamna Airport,Mar-Nov,ILI,PAIL,"Iliamna, Alaska, United States",UTC−09:00
Ilaka-Est Airport (Atsinanana Airport),,ILK,FMMQ,"Ilaka, Madagascar",UTC+03:00
Willmar Municipal Airport (John L. Rice Field),Mar-Nov,ILL,KBDH,"Willmar, Minnesota, United States",UTC−06:00
Wilmington International Airport,Mar-Nov,ILM,KILM,"Wilmington, North Carolina, United States",UTC−05:00
Wilmington Air Park,Mar-Nov,ILN,KILN,"Wilmington, Ohio, United States",UTC−05:00
Iloilo International Airport,,ILO,RPVI,"Iloilo, Philippines",UTC+08:00
Île des Pins Airport,,ILP,NWWE,"Île des Pins, New Caledonia",UTC+11:00
Ilo Airport,,ILQ,SPLO,"Ilo, Peru",UTC−05:00
Ilorin International Airport,,ILR,DNIL,"Ilorin, Nigeria",UTC+01:00
Kilaguni Airport,,ILU,HKKL,"Kilaguni, Kenya",UTC+03:00
Ileg Airport,,ILX,,"Ileg, Papua New Guinea",UTC+10:00
Islay Airport (Glenegedale Airport),Mar-Oct,ILY,EGPI,"Islay, Scotland, United Kingdom",UTC±00:00
Žilina Airport,Mar-Oct,ILZ,LZZI,"Žilina, Slovakia",UTC+01:00
Iamalele Airport,,IMA,,"Iamalele, Papua New Guinea",UTC+10:00
Imbaimadai Airport,,IMB,SYIB,"Imbaimadai, Guyana",UTC−04:00
Imonda Airport,,IMD,,"Imonda, Papua New Guinea",UTC+10:00
Imphal International Airport (Tulihal Airport),,IMF,VEIM,"Imphal, Manipur, India",UTC+05:30
Inhaminga Airport,,IMG,,"Inhaminga, Mozambique",UTC+02:00
Ine Airport (FAA: N20),,IMI,,"Ine, Arno Atoll, Marshall Islands",UTC+12:00
Simikot Airport,,IMK,VNST,"Simikot, Nepal",UTC+05:45
Imperial Municipal Airport,Mar-Nov,IML,KIML,"Imperial, Nebraska, United States",UTC−07:00
Immokalee Regional Airport,Mar-Nov,IMM,KIMM,"Immokalee, Florida, United States",UTC−05:00
Imane Airport,,IMN,AYII,"Imane, Papua New Guinea",UTC+10:00
Zemio Airport,,IMO,FEFZ,"Zemio, Central African Republic",UTC+01:00
Imperatriz Airport (Prefeito Renato Moreira Airport),,IMP,SBIZ,"Imperatriz, Maranhão, Brazil",UTC−03:00
Ford Airport,Mar-Nov,IMT,KIMT,"Iron Mountain / Kingsford, Michigan, United States",UTC−06:00
Inta Airport,,INA,UUYI,"Inta, Komi Republic, Russia",UTC+03:00
Independence Airport,,INB,,"Independence, Belize",UTC−06:00
Yinchuan Hedong International Airport,,INC,ZLIC,"Yinchuan, Ningxia, China",UTC+08:00
Indianapolis International Airport,Mar-Nov,IND,KIND,"Indianapolis, Indiana, United States",UTC−05:00
Chinde Airport,,INE,,"Chinde, Mozambique",UTC+02:00
In Guezzam Airport,,INF,DATG,"In Guezzam, Algeria",UTC+01:00
Inhambane Airport,,INH,FQIN,"Inhambane, Mozambique",UTC+02:00
Niš Constantine the Great Airport,Mar-Oct,INI,LYNI,"Niš, Serbia",UTC+01:00
Injune Airport,,INJ,YINJ,"Injune, Queensland, Australia",UTC+10:00
Winkler County Airport,Mar-Nov,INK,KINK,"Wink, Texas, United States",UTC−06:00
Falls International Airport,Mar-Nov,INL,KINL,"International Falls, Minnesota, United States",UTC−06:00
Innamincka Airport,Oct-Apr,INM,YINN,"Innamincka, South Australia, Australia",UTC+09:30
Innsbruck Airport (Kranebitten Airport),Mar-Oct,INN,LOWI,"Innsbruck, Austria",UTC+01:00
Inongo Airport,,INO,FZBA,"Inongo, Democratic Republic of the Congo",UTC+01:00
Inisheer Aerodrome,Mar-Oct,INQ,EIIR,"Inisheer, Ireland",UTC±00:00
Creech Air Force Base,Mar-Nov,INS,KINS,"Indian Springs, Nevada, United States",UTC−08:00
Smith Reynolds Airport,Mar-Nov,INT,KINT,"Winston-Salem, North Carolina, United States",UTC−05:00
Nauru International Airport,,INU,ANYN,"Yaren, Nauru",UTC+12:00
Inverness Airport,Mar-Oct,INV,EGPE,"Inverness, Scotland, United Kingdom",UTC±00:00
Winslow–Lindbergh Regional Airport,,INW,KINW,"Winslow, Arizona, United States",UTC−07:00
Inanwatan Airport,,INX,WASI,"Inanwatan, Indonesia",UTC+09:00
Inyati Airport,,INY,,"Inyati, South Africa",UTC+02:00
In Salah Airport,,INZ,DAUI,"In Salah, Algeria",UTC+01:00
Ioannina National Airport,Mar-Oct,IOA,LGIO,"Ioannina, Greece",UTC+02:00
Iokea Airport,,IOK,,"Iokea, Papua New Guinea",UTC+10:00
Isle of Man Airport (Ronaldsway Airport),Mar-Oct,IOM,EGNS,"Isle of Man, United Kingdom",UTC±00:00
Impfondo Airport,,ION,FCOI,"Impfondo, Republic of the Congo",UTC+01:00
Ioma Airport,,IOP,,"Ioma, Papua New Guinea",UTC+10:00
Inishmore Aerodrome (Kilronan Airport),Mar-Oct,IOR,EIIM,"Inishmore, Ireland",UTC±00:00
Ilhéus Jorge Amado Airport,,IOS,SBIL,"Ilhéus, Bahia, Brazil",UTC−03:00
Iowa City Municipal Airport,Mar-Nov,IOW,KIOW,"Iowa City, Iowa, United States",UTC−06:00
Ipota Airport,,IPA,NVVI,"Erromango, Tafea, Vanuatu",UTC+11:00
Mataveri International Airport (Isla de Pascua Airport),Aug-May,IPC,SCIP,"Easter Island, Chile",UTC−06:00
Ipil Airport,,IPE,RPMV,"Ipil, Philippines",UTC+08:00
Ipiranga Airport,,IPG,SWII,"Santo Antônio do Içá, Amazonas, Brazil",UTC−04:00
Sultan Azlan Shah Airport,,IPH,WMKI,"Ipoh, Perak, Malaysia",UTC+08:00
San Luis Airport,,IPI,SKIP,"Ipiales, Colombia",UTC−05:00
Imperial County Airport (Boley Field),Mar-Nov,IPL,KIPL,"Imperial / El Centro, California, United States",UTC−08:00
Usiminas Airport,Oct-Feb,IPN,SBIP,"Ipatinga, Minas Gerais, Brazil",UTC−03:00
Williamsport Regional Airport,Mar-Nov,IPT,KIPT,"Williamsport, Pennsylvania, United States",UTC−05:00
Ipiaú Airport,,IPU,SNIU,"Ipiaú, Bahia, Brazil",UTC−03:00
Al Asad Airbase[1],,IQA,ORAA,"Anbar Province, Iraq",UTC+03:00
Qiemo Airport,,IQM,ZWCM,"Qiemo, Xinjiang, China",UTC+06:00
Qingyang Airport,,IQN,ZLQY,"Qingyang, Gansu, China",UTC+08:00
Diego Aracena International Airport,Aug-May,IQQ,SCDA,"Iquique, Chile",UTC−04:00
Coronel FAP Francisco Secada Vignetta International Airport,,IQT,SPQT,"Iquitos, Peru",UTC−05:00
Kirakira Airport (Ngorangora Airstrip),,IRA,AGGK,"Kirakira, Makira Island, Solomon Islands",UTC+11:00
Iraan Municipal Airport (FAA: 2F0),Mar-Nov,IRB,,"Iraan, Texas, United States",UTC−06:00
Circle City Airport (FAA: CRC),Mar-Nov,IRC,PACR,"Circle, Alaska, United States",UTC−09:00
Ishwardi Airport,,IRD,VGIS,"Ishwardi, Bangladesh",UTC+06:00
Irecê Airport,,IRE,SNIC,"Irecê, Bahia, Brazil",UTC−03:00
Lockhart River Airport,,IRG,YLHR,"Lockhart River, Queensland, Australia",UTC+10:00
Iringa Airport (Nduli Airport),,IRI,HTIR,"Iringa, Tanzania",UTC+03:00
Capitán Vicente Almandos Almonacid Airport,,IRJ,SANL,"La Rioja, Argentina",UTC−03:00
Kirksville Regional Airport,Mar-Nov,IRK,KIRK,"Kirksville, Missouri, United States",UTC−06:00
Igrim Airport[1],,IRM,USHI,"Igrim, Khanty-Mansi Autonomous Okrug, Russia",UTC+05:00
Iriona Airport,,IRN,MHIR,"Iriona, Honduras",UTC−06:00
Birao Airport,,IRO,FEFI,"Birao, Central African Republic",UTC+01:00
Matari Airport,,IRP,FZJH,"Isiro, Democratic Republic of the Congo",UTC+02:00
Kirsch Municipal Airport,Mar-Nov,IRS,KIRS,"Sturgis, Michigan, United States",UTC−05:00
Iranamadu Waterdrome,,IRU,,"Kilinochchi, Sri Lanka",UTC+05:30
Tapuruquara Airport[1],,IRZ,SWTP,"Santa Isabel do Rio Negro, Amazonas, Brazil",UTC−04:00
Mount Isa Airport,,ISA,YBMA,"Mount Isa, Queensland, Australia",UTC+10:00
Benazir Bhutto International Airport,,ISB,OPRN,"Islamabad / Rawalpindi, Pakistan",UTC+05:00
St Mary's Airport,Mar-Oct,ISC,EGHE,"St Mary's, Isles of Scilly, United Kingdom",UTC±00:00
Iscuande Airport,,ISD,,"Iscuande, Colombia",UTC−05:00
Isparta Süleyman Demirel Airport,,ISE,LTFC,"Isparta, Turkey",UTC+03:00
New Ishigaki Airport,,ISG,ROIG,"Ishigaki, Yaeyama Islands, Japan",UTC+09:00
Isisford Airport,,ISI,YISF,"Isisford, Queensland, Australia",UTC+10:00
Isla Mujeres Airport,,ISJ,MMIM,"Isla Mujeres, Quintana Roo, Mexico",UTC−05:00
Ozar Airport,,ISK,VAOZ,"Nashik, Maharashtra, India",UTC+05:30
Kissimmee Gateway Airport,Mar-Nov,ISM,KISM,"Orlando, Florida, United States",UTC−05:00
Sloulin Field International Airport,Mar-Nov,ISN,KISN,"Williston, North Dakota, United States",UTC−06:00
Kinston Regional Jetport (Stallings Field),Mar-Nov,ISO,KISO,"Kinston, North Carolina, United States",UTC−05:00
Long Island MacArthur Airport,Mar-Nov,ISP,KISP,"Islip, New York, United States",UTC−05:00
Schoolcraft County Airport,Mar-Nov,ISQ,KISQ,"Manistique, Michigan, United States",UTC−05:00
Wiscasset Airport (FAA: IWI),Mar-Nov,ISS,KIWI,"Wiscasset, Maine, United States",UTC−05:00
Istanbul Atatürk Airport,,IST,LTBA,"Istanbul, Turkey",UTC+03:00
Sulaimaniyah International Airport,,ISU,ORSU,"Sulaymaniyah, Iraq",UTC+03:00
South Wood County Airport (Alexander Field),Mar-Nov,ISW,KISW,"Wisconsin Rapids, Wisconsin, United States",UTC−06:00
Itacoatiara Airport,,ITA,SBIC,"Itacoatiara, Amazonas, Brazil",UTC−04:00
Itaituba Airport,,ITB,SBIH,"Itaituba, Pará, Brazil",UTC−03:00
Ituberá Airport,,ITE,SNZW,"Ituberá, Bahia, Brazil",UTC−03:00
Ithaca Tompkins Regional Airport,Mar-Nov,ITH,KITH,"Ithaca, New York, United States",UTC−05:00
Itambacuri Airport,Oct-Feb,ITI,,"Itambacuri, Minas Gerais, Brazil",UTC−03:00
Itokama Airport,,ITK,,"Itokama, Papua New Guinea",UTC+10:00
Osaka International Airport (Itami Int'l),,ITM,RJOO,"Osaka, Honshu, Japan",UTC+09:00
Itabuna Airport,,ITN,SNHA,"Itabuna, Bahia, Brazil",UTC−03:00
Hilo International Airport,,ITO,PHTO,"Hilo, Hawaii, United States",UTC−10:00
Itaperuna Airport,Oct-Feb,ITP,SDUN,"Itaperuna, Rio de Janeiro, Brazil",UTC−03:00
Itaqui Airport,Oct-Feb,ITQ,SSIQ,"Itaqui, Rio Grande do Sul, Brazil",UTC−03:00
Itumbiara Airport,Oct-Feb,ITR,SBIT,"Itumbiara, Goiás, Brazil",UTC−03:00
Iturup Airport[1],,ITU,UHSI,"Kurilsk, Sakhalin Oblast, Russia",UTC+11:00
Niue International Airport (Hanan Int'l),,IUE,NIUE,"Alofi, Niue",UTC−11:00
Ilu Airport,,IUL,,"Ilu, Indonesia",UTC+09:00
Inus Airport,,IUS,,"Inus, Papua New Guinea",UTC+11:00
Ambanja Airport,,IVA,FMNJ,"Ambanja, Madagascar",UTC+03:00
Invercargill Airport,Sep-Apr,IVC,NZNV,"Invercargill, New Zealand",UTC+12:00
Dolac Airport,Mar-Oct,IVG,LYBR,"Berane, Montenegro",UTC+01:00
Viveros Island Airport[1],,IVI,,"Viveros Island, Panama",UTC−05:00
Ivalo Airport,Mar-Oct,IVL,EFIV,"Ivalo, Finland",UTC+02:00
Chibolo Airport,,IVO,,"Chibolo, Colombia",UTC−05:00
Inverell Airport,Oct-Apr,IVR,YIVL,"Inverell, New South Wales, Australia",UTC+10:00
Inverway Airport,,IVW,YINW,"Inverway, Northern Territory, Australia",UTC+09:30
Ivanovo Yuzhny Airport,,IWA,UUBI,"Ivanovo, Ivanovo Oblast, Russia",UTC+03:00
Gogebic–Iron County Airport,Mar-Nov,IWD,KIWD,"Ironwood, Michigan, United States",UTC−06:00
Iwami Airport (Hagi-Iwami Airport),,IWJ,RJOW,"Masuda, Honshu, Japan",UTC+09:00
Marine Corps Air Station Iwakuni[1],,IWK,RJOI,"Iwakuni, Honshu, Japan",UTC+09:00
Iwo Jima Air Base,,IWO,RJAW,"Iwo Jima, Bonin Islands, Japan",UTC+09:00
West Houston Airport,Mar-Nov,IWS,KIWS,"Houston, Texas, United States",UTC−06:00
Agartala Airport (Singerbhil Airport),,IXA,VEAT,"Agartala, Tripura, India",UTC+05:30
Bagdogra Airport,,IXB,VEBD,"Siliguri, West Bengal, India",UTC+05:30
Chandigarh International Airport,,IXC,VICG,"Chandigarh, India",UTC+05:30
Allahabad Airport (Bamrauli Air Force Base),,IXD,VIAL,"Allahabad, Uttar Pradesh, India",UTC+05:30
Mangalore Airport,,IXE,VOML,"Mangalore, Karnataka, India",UTC+05:30
Belgaum Airport,,IXG,VABM,"Belgaum, Karnataka, India",UTC+05:30
Kailashahar Airport,,IXH,VEKR,"Kailashahar, Tripura, India",UTC+05:30
Lilabari Airport,,IXI,VELR,"North Lakhimpur, Assam, India",UTC+05:30
Jammu Airport (Satwari Airport),,IXJ,VIJU,"Jammu, Jammu and Kashmir, India",UTC+05:30
Keshod Airport,,IXK,VAKS,"Keshod, Gujarat, India",UTC+05:30
Kushok Bakula Rimpochee Airport,,IXL,VILH,"Leh, Jammu and Kashmir, India",UTC+05:30
Madurai Airport,,IXM,VOMD,"Madurai, Tamil Nadu, India",UTC+05:30
Khowai Airport,,IXN,VEKW,"Khowai, Tripura, India",UTC+05:30
Pathankot Airport,,IXP,VIPK,"Pathankot, Punjab, India",UTC+05:30
Kamalpur Airport,,IXQ,VEKM,"Kamalpur, Tripura, India",UTC+05:30
Birsa Munda Airport,,IXR,VERC,"Ranchi, Jharkhand, India",UTC+05:30
Silchar Airport (Kumbhirgram Air Force Base),,IXS,VEKU,"Silchar, Assam, India",UTC+05:30
Pasighat Airport,,IXT,VEPG,"Pasighat, Arunachal Pradesh, India",UTC+05:30
Aurangabad Airport (Chikkalthana Airport),,IXU,VAAU,"Aurangabad, Maharashtra, India",UTC+05:30
Along Airport,,IXV,VEAN,"Along (Aalo), Arunachal Pradesh, India",UTC+05:30
Sonari Airport,,IXW,VEJS,"Jamshedpur, Jharkhand, India",UTC+05:30
Kandla Airport (Gandhidham Airport),,IXY,VAKE,"Kandla / Gandhidham, Gujarat, India",UTC+05:30
Veer Savarkar International Airport (Port Blair Airport),,IXZ,VOPB,"Port Blair, Andaman and Nicobar Islands, India",UTC+05:30
Inyokern Airport,Mar-Nov,IYK,KIYK,"Inyokern, California, United States",UTC−08:00
Presidente Itamar Franco Airport (Zona da Mata Regional Airport),Oct-Feb,IZA,SBZM,"Juiz de Fora, Minas Gerais, Brazil",UTC−03:00
metropolitan area2,,IZM[1],,"İzmir, Turkey",UTC+03:00
Izumo Airport,,IZO,RJOC,"Izumo, Honshu, Japan",UTC+09:00
Ixtepec Airport,Apr-Oct,IZT,MMIT,"Ixtepec, Oaxaca, Mexico",UTC−06:00
Jalalabad Airport,,JAA,OAJL,"Jalalabad, Afghanistan",UTC+04:30
Jabiru Airport,,JAB,YJAB,"Jabiru, Northern Territory, Australia",UTC+09:30
Jackson Hole Airport,Mar-Nov,JAC,KJAC,"Jackson, Wyoming, United States",UTC−07:00
Jandakot Airport,,JAD,YPJT,"Perth, Western Australia, Australia",UTC+08:00
Shumba Airport,,JAE,SPJE,"Jaén, Peru",UTC−05:00
Jaffna Airport,,JAF,VCCJ,"Jaffna, Sri Lanka",UTC+05:30
PAF Base Shahbaz,,JAG,OPJA,"Jacobabad, Pakistan",UTC+05:00
Jaipur International Airport,,JAI,VIJP,"Jaipur, Rajasthan, India",UTC+05:30
Jacmel Airport,Mar-Nov,JAK,MTJA,"Jacmel, Haiti",UTC−05:00
El Lencero Airport,Apr-Oct,JAL,MMJA,"Xalapa (Jalapa), Veracruz, Mexico",UTC−06:00
Bezmer Air Base,Mar-Oct,JAM,,"Yambol, Bulgaria",UTC+02:00
Jackson–Evers International Airport,Mar-Nov,JAN,KJAN,"Jackson, Mississippi, United States",UTC−06:00
Chacarita Airport[1],,JAP,MRCH,"Puntarenas, Costa Rica",UTC−06:00
Jacquinot Bay Airport,,JAQ,,"Jacquinot Bay, Papua New Guinea",UTC+10:00
Jahrom Airport[1],Mar-Sep,JAR,OISJ,"Jahrom, Iran",UTC+03:30
Jasper County Airport (Bell Field),Mar-Nov,JAS,KJAS,"Jasper, Texas, United States",UTC−06:00
Jabot Airport,,JAT,,"Jabat Island, Marshall Islands",UTC+12:00
Francisco Carle Airport,,JAU,SPJJ,"Jauja, Peru",UTC−05:00
Ilulissat Airport,Mar-Oct,JAV,BGJN,"Ilulissat, Greenland",UTC−03:00
Jacksonville International Airport,Mar-Nov,JAX,KJAX,"Jacksonville, Florida, United States",UTC−05:00
Notohadinegoro Airport,,JBB,,"Jember, Indonesia",UTC+07:00
La Isabela International Airport (Dr. Joaquin Balaguer Int'l),,JBQ,MDJB,"La Isabela, Dominican Republic",UTC−04:00
Jonesboro Municipal Airport,Mar-Nov,JBR,KJBR,"Jonesboro, Arkansas, United States",UTC−06:00
Bethel Seaplane Base (FAA: Z59),Mar-Nov,JBT,,"Bethel, Alaska, United States",UTC−09:00
Santa Terezinha Municipal Airport,Oct-Feb,JCB,SSJA,"Joaçaba, Santa Catarina, Brazil",UTC−03:00
Qasigiannguit Heliport,Mar-Oct,JCH,BGCH,"Qasigiannguit, Greenland",UTC−03:00
New Century AirCenter (FAA: IXD),Mar-Nov,JCI,KIXD,"Olathe, Kansas, United States",UTC−06:00
Julia Creek Airport,,JCK,YJLC,"Julia Creek, Queensland, Australia",UTC+10:00
Jacobina Airport,,JCM,SNJB,"Jacobina, Bahia, Brazil",UTC−03:00
Jacareacanga Airport,,JCR,SBEK,"Jacareacanga, Pará, Brazil",UTC−03:00
Kimble County Airport,Mar-Nov,JCT,KJCT,"Junction, Texas, United States",UTC−06:00
LBJ Ranch Airport (FAA: 0TE7),Mar-Nov,JCY,,"Johnson City, Texas, United States",UTC−06:00
Grant County Regional Airport (Ogilvie Field) (FAA: GCD),Mar-Nov,JDA,KGCD,"John Day, Oregon, United States",UTC−08:00
Francisco Álvares de Assis Airport,Oct-Feb,JDF,SBJF,"Juiz de Fora, Minas Gerais, Brazil",UTC−03:00
Jeongseok Airport,,JDG,RKPD,"Seogwipo, South Korea",UTC+09:00
Jodhpur Airport,,JDH,VIJO,"Jodhpur, Rajasthan, India",UTC+05:30
Jordan Airport,Mar-Nov,JDN,KJDN,"Jordan, Montana, United States",UTC−07:00
Juazeiro do Norte Airport,,JDO,SBJU,"Juazeiro do Norte, Ceará, Brazil",UTC−03:00
Prefeito Octávio de Almeida Neves Airport[1],Oct-Feb,JDR,SNJR,"São João del Rei, Minas Gerais, Brazil",UTC−03:00
Jingdezhen Luojia Airport,,JDZ,ZSJD,"Jingdezhen, Jiangxi, China",UTC+08:00
King Abdulaziz International Airport,,JED,OEJN,"Jeddah, Saudi Arabia",UTC+03:00
Jérémie Airport,Mar-Nov,JEE,MTJE,"Jérémie, Haiti",UTC−05:00
Jefferson City Memorial Airport,Mar-Nov,JEF,KJEF,"Jefferson City, Missouri, United States",UTC−06:00
Aasiaat Airport,Mar-Oct,JEG,BGAA,"Aasiaat, Greenland",UTC−03:00
Jeh Airport,,JEJ,,"Jeh Island, Ailinglaplap Atoll, Marshall Islands",UTC+12:00
Jeki Airstrip[1],,JEK,,"Jeki, Zambia",UTC+02:00
Jequié Airport,,JEQ,SNJK,"Jequié, Bahia, Brazil",UTC−03:00
Jersey Airport,Mar-Oct,JER,EGJJ,"Jersey, Channel Islands, United Kingdom",UTC±00:00
John F. Kennedy International Airport,Mar-Nov,JFK,KJFK,"New York City, New York, United States",UTC−05:00
Northeast Ohio Regional Airport (FAA: HZY),Mar-Nov,JFN,KHZY,"Ashtabula, Ohio, United States",UTC−05:00
Paamiut Airport,Mar-Oct,JFR,BGPT,"Paamiut, Greenland",UTC−03:00
Jamnagar Airport (Govardhanpur Airport),,JGA,VAJM,"Jamnagar, Gujarat, India",UTC+05:30
Jagdalpur Airport,,JGB,,"Jagdalpur, Chhattisgarh, India",UTC+05:30
Jiagedaqi Airport,,JGD,ZYJD,"Jiagedaqi, Heilongjiang, China",UTC+08:00
Jiayuguan Airport,,JGN,ZLJQ,"Jiayuguan, Gansu, China",UTC+08:00
Jinggangshan Airport,,JGS,ZSJA,"Ji'an, Jiangxi, China",UTC+08:00
Senai International Airport,,JHB,WMKJ,"Johor Bahru, Johor, Malaysia",UTC+08:00
Xishuangbanna Gasa Airport,,JHG,ZPJH,"Jinghong, Yunnan, China",UTC+08:00
Fort MacKay/Albian Aerodrome[1] (TC: CAL4),Mar-Nov,JHL,,"Fort MacKay, Alberta, Canada",UTC−07:00
Kapalua Airport,,JHM,PHJH,"Kapalua, Hawaii, United States",UTC−10:00
Sisimiut Airport,Mar-Oct,JHS,BGSS,"Sisimiut, Greenland",UTC−03:00
Chautauqua County-Jamestown Airport,Mar-Nov,JHW,KJHW,"Jamestown, New York, United States",UTC−05:00
Juína Airport,Oct-Feb,JIA,SWJN,"Juína, Mato Grosso, Brazil",UTC−04:00
Djibouti–Ambouli International Airport,,JIB,HDAM,"Djibouti, Djibouti",UTC+03:00
Jinchang Jinchuan Airport,,JIC,ZLJC,"Jinchang, Gansu, China",UTC+08:00
Wilwal International Airport,,JIJ,HAJJ,"Jijiga, Ethiopia",UTC+03:00
Ikaria Island National Airport,Mar-Oct,JIK,LGIK,"Ikaria Island, Greece",UTC+02:00
Jilin Ertaizi Airport,,JIL,ZYJL,"Jilin City, Jilin, China",UTC+08:00
Aba Segud Airport,,JIM,HAJM,"Jimma, Ethiopia",UTC+03:00
Jinja Airport,,JIN,HUJI,"Jinja, Uganda",UTC+03:00
Jipijapa Airport,,JIP,SEJI,"Jipijapa, Ecuador",UTC−05:00
Qianjiang Wulingshan Airport,,JIQ,ZUQJ,"Qianjiang, Chongqing, China",UTC+08:00
Jiri Airport,,JIR,VNJI,"Jiri, Nepal",UTC+05:45
Jiujiang Lushan Airport,,JIU,ZSJJ,"Jiujiang, Jiangxi, China",UTC+08:00
Jiwani Airport,,JIW,OPJI,"Jiwani, Pakistan",UTC+05:00
Jajao Airport[1],,JJA,AGJO[2],"Jajao, Isabel Province, Solomon Islands",UTC+11:00
Humberto Ghizzo Bortoluzzi Regional Airport[1],Oct-Feb,JJG,SBJA,"Jaguaruna, Santa Catarina, Brazil",UTC−03:00
Juanjuí Airport,,JJI,SPJI,"Juanjuí, Peru",UTC−05:00
Mulika Lodge Airport[1],,JJM,HKMK,"Meru National Park, Kenya",UTC+03:00
Quanzhou Jinjiang International Airport,,JJN,ZSQZ,"Quanzhou, Fujian, China",UTC+08:00
Jönköping Airport,Mar-Oct,JKG,ESGJ,"Jönköping, Sweden",UTC+01:00
Chios Island National Airport,Mar-Oct,JKH,LGHI,"Chios, Greece",UTC+02:00
Kalymnos Island National Airport,Mar-Oct,JKL,LGKY,"Kalymnos, Greece",UTC+02:00
Janakpur Airport,,JKR,VNJP,"Janakpur, Nepal",UTC+05:45
metropolitan area2,,JKT[1],,"Jakarta, Indonesia",UTC+07:00
Cherokee County Airport (FAA: JSO),Mar-Nov,JKV,KJSO,"Jacksonville, Texas, United States",UTC−06:00
Quartz Creek Airport,Mar-Nov,JLA,,"Cooper Landing, Alaska, United States",UTC−09:00
Joplin Regional Airport,Mar-Nov,JLN,KJLN,"Joplin, Missouri, United States",UTC−06:00
Jabalpur Airport (Dumna Airport),,JLR,VAJB,"Jabalpur, Madhya Pradesh, India",UTC+05:30
Jales Airport,Oct-Feb,JLS,SDJL[3],"Jales, São Paulo, Brazil",UTC−03:00
Jamba Airport,,JMB,,"Jamba, Angola",UTC+01:00
Mykonos Island National Airport,Mar-Oct,JMK,LGMK,"Mykonos, Greece",UTC+02:00
Jomsom Airport,,JMO,VNJS,"Jomsom, Nepal",UTC+05:45
Jamestown Regional Airport,Mar-Nov,JMS,KJMS,"Jamestown, North Dakota, United States",UTC−06:00
Jiamusi Dongjiao Airport,,JMU,ZYJM,"Jiamusi, Heilongjiang, China",UTC+08:00
Januária Airport,Oct-Feb,JNA,SNJN,"Januária, Minas Gerais, Brazil",UTC−03:00
O. R. Tambo International Airport,,JNB,FAOR,"Johannesburg, South Africa",UTC+02:00
Jining Qufu Airport,,JNG,ZLJN,"Jining, Shandong, China",UTC+08:00
Junín Airport,,JNI,SAAJ,"Junín, Buenos Aires, Argentina",UTC−03:00
Duqm Jaaluni Airport,,JNJ,,"Duqm, Oman",UTC+04:00
Juneau International Airport,Mar-Nov,JNU,PAJN,"Juneau, Alaska, United States",UTC−09:00
Naxos Island National Airport,Mar-Oct,JNX,LGNX,"Naxos, Greece",UTC+02:00
Jinzhou Bay Airport,,JNZ,ZYJZ,"Jinzhou, Liaoning, China",UTC+08:00
